2024-04-16_04:44:23.470060, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:44:23.810333, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:44:24.015347, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:44:24.194588, The student is not leaning forward, making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:44:24.379180, The student is not leaning forward, making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:44:24.577270, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:44:24.774945, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:44:24.931295, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:44:25.094878, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:44:25.262527, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:44:25.423750, The student is not leaning forward, not making eye contact, smiling, and displaying open posture, current expression is sympathetic.
2024-04-16_04:44:25.589143, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is happy.
2024-04-16_04:44:25.750536, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is happy.
2024-04-16_04:44:25.917673, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is happy.
2024-04-16_04:44:26.187012, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is happy.
2024-04-16_04:44:26.364671, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is happy.
2024-04-16_04:44:26.539022, The student is not leaning forward, making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:44:26.705928, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:44:26.866646, The student is not leaning forward, making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:44:27.043921, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:44:27.211577, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:44:27.386848, The student is not leaning forward, making eye contact, not smiling, and displaying open posture, current expression is happy.
2024-04-16_04:44:27.541297, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is happy.
2024-04-16_04:44:27.709087, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is happy.
2024-04-16_04:44:27.871943, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is happy.
2024-04-16_04:44:28.048164, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is happy.
2024-04-16_04:44:28.211351, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is happy.
2024-04-16_04:44:28.380748, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is happy.
2024-04-16_04:44:28.544030, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is happy.
2024-04-16_04:44:28.711411, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is happy.
2024-04-16_04:44:28.874571, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is happy.
2024-04-16_04:44:29.043085, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is happy.
2024-04-16_04:44:29.209666, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is happy.
2024-04-16_04:44:29.375387, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is happy.
2024-04-16_04:44:29.542530, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is happy.
2024-04-16_04:44:29.708278, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is happy.
2024-04-16_04:44:29.870803, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is happy.
